"16826880","16827135","TH","Thailand","Trang","Trang"
"16827136","16827391","TH","Thailand","Phuket","Phuket"
"16827392","16827647","TH","Thailand","Nakhon Si Thammarat","Pak Phanang"
"16827648","16827903","TH","Thailand","Surat Thani","Ko Samui"
"16827904","16828159","TH","Thailand","Surat Thani","Surat Thani"
"16828160","16828415","TH","Thailand","Surat Thani","Ko Pha-Ngan"
"16828416","16828671","TH","Thailand","Chon Buri","Ban Talat Bueng"
"16828672","16828927","TH","Thailand","Krung Thep Maha Nakhon","Bangkok"
"16828928","16829183","TH","Thailand","Nakhon Si Thammarat","Ron Phibun"
"16829184","16829439","TH","Thailand","Surat Thani","Surat Thani"
"16829440","16829695","TH","Thailand","Tak","Tak"
"16829696","16829951","TH","Thailand","Nakhon Sawan","Nakhon Sawan"
"16829952","16830207","TH","Thailand","Sukhothai","Sawankhalok"
"16830208","16830463","TH","Thailand","Phichit","Bang Mun Nak"
"16830464","16830719","TH","Thailand","Prachuap Khiri Khan","Prachuap Khiri Khan"
"16830720","16830975","TH","Thailand","Phetchaburi","Ban Lat"
"16830976","16831231","TH","Thailand","Suphan Buri","U Thong"
"16831232","16831487","TH","Thailand","Saraburi","Muak Lek"
"16831488","16831743","TH","Thailand","Prachuap Khiri Khan","Prachuap Khiri Khan"
"16831744","16831999","TH","Thailand","Phetchaburi","Tha Yang"
"16832000","16832255","TH","Thailand","Pattani","Pattani"
"16832256","16832511","TH","Thailand","Krung Thep Maha Nakhon","Bangkok"
"16832512","16833279","TH","Thailand","Nakhon Si Thammarat","Ron Phibun"
"16833280","16833535","TH","Thailand","Nakhon Si Thammarat","Lan Saka"
"16833536","16833791","TH","Thailand","Nakhon Si Thammarat","Chang Klang"
"16833792","16834047","TH","Thailand","Surat Thani","Chaiya"
"16834048","16834559","TH","Thailand","Surat Thani","Ko Samui"
"16834560","16834815","TH","Thailand","Phuket","Phuket"
"16834816","16835327","TH","Thailand","Phuket","Thalang"
"16835328","16835583","TH","Thailand","Phuket","Phuket"
"16835584","16835839","TH","Thailand","Phuket","Thalang"
"16835840","16836095","TH","Thailand","Phuket","Phuket"
"16836096","16836351","TH","Thailand","Phuket","Thalang"
"16836352","16838399","TH","Thailand","Phuket","Phuket"
"16838400","16838655","TH","Thailand","Phuket","Thalang"
"16838656","16838911","TH","Thailand","Phatthalung","Srinagarindra"
"16838912","16839167","TH","Thailand","Surat Thani","Ko Samui"
"16839168","16839423","TH","Thailand","Satun","Manang"
"16839424","16839679","TH","Thailand","Phatthalung","Pa Bon"
"16839680","16839935","TH","Thailand","Satun","Satun"
"16839936","16840191","TH","Thailand","Krabi","Saladan"
"16840192","16840447","TH","Thailand","Phuket","Phuket"
"16840448","16840703","TH","Thailand","Krabi","Krabi"
"16840704","16840959","TH","Thailand","Yala","Betong"
"16840960","16841215","TH","Thailand","Narathiwat","Tak Bai"
"16841216","16841471","TH","Thailand","Phuket","Thalang"
"16841472","16841727","TH","Thailand","Yala","Yala"
"16841728","16842239","TH","Thailand","Songkhla","Hat Yai"
"16842240","16842495","TH","Thailand","Songkhla","Rattaphum"
"16842496","16842751","TH","Thailand","Narathiwat","Su-ngai Padi"
"16842752","16843007","CN","China","Fujian","Fuzhou"
"16843008","16843263","AU","Australia","Queensland","Brisbane"
"16843264","16844799","CN","China","Fujian","Fuzhou"
"16844800","16845055","CN","China","Shanghai","Shanghai"
"16845056","16859135","CN","China","Guangdong","Guangzhou"
"16859136","16875519","JP","Japan","Tokyo","Tokyo"
"16875520","16875775","TH","Thailand","Roi Et","Moeiwadi"
"16875776","16876031","TH","Thailand","Udon Thani","Ban Phue"
"16876032","16876287","TH","Thailand","Sakon Nakhon","Sakon Nakhon"
"16876288","16876543","TH","Thailand","Loei","Erawan"
"16876544","16876799","TH","Thailand","Loei","Loei"
"16876800","16877055","TH","Thailand","Khon Kaen","Khon Kaen"
"16877056","16877311","TH","Thailand","Sakon Nakhon","Kham Ta Kla"
"16877312","16877567","TH","Thailand","Loei","Erawan"
"16877568","16877823","TH","Thailand","Nakhon Phanom","Pla Pak"
"16877824","16878079","TH","Thailand","Nakhon Phanom","Ban Phaeng"
"16878080","16878335","TH","Thailand","Nakhon Phanom","Si Songkhram"
